n_neighbors,n_components,min_dist,n_clusters,embedding_model,coherence,diversity,silhouette
10,5,0.0,2,paraphrase-multilingual-mpnet-base-v2,0.4433558133326172,0.875,0.13711239397525787
10,5,0.0,2,neuralmind/bert-base-portuguese-cased,0.44542227930289474,0.875,0.10729944705963135
10,5,0.0,3,paraphrase-multilingual-mpnet-base-v2,0.4267899664583255,0.6833333333333333,0.061890531331300735
10,5,0.0,3,neuralmind/bert-base-portuguese-cased,0.4276779228014946,0.8166666666666667,0.052850473672151566
10,5,0.0,4,paraphrase-multilingual-mpnet-base-v2,0.4588809497156529,0.675,0.06713556498289108
10,5,0.0,4,neuralmind/bert-base-portuguese-cased,0.45693939219939494,0.775,-0.011514868587255478
10,5,0.0,5,paraphrase-multilingual-mpnet-base-v2,0.4944951771126423,0.72,0.05965837091207504
10,5,0.0,5,neuralmind/bert-base-portuguese-cased,0.48362891211737236,0.71,-0.033105574548244476
10,5,0.0,10,paraphrase-multilingual-mpnet-base-v2,0.5189271264830113,0.65,0.033767927438020706
10,5,0.0,10,neuralmind/bert-base-portuguese-cased,0.5126642097487137,0.735,-0.04407285898923874
10,5,0.0,20,paraphrase-multilingual-mpnet-base-v2,0.4837930033222076,0.6575,0.022071147337555885
10,5,0.0,20,neuralmind/bert-base-portuguese-cased,0.5456718285771771,0.7525,-0.052027639001607895
10,5,0.0,30,paraphrase-multilingual-mpnet-base-v2,0.0,0.71,0.018354222178459167
10,5,0.0,30,neuralmind/bert-base-portuguese-cased,0.5009018317669385,0.765,-0.07096240669488907
10,5,0.0,50,paraphrase-multilingual-mpnet-base-v2,0.0,0.795,0.011214414611458778
10,5,0.0,50,neuralmind/bert-base-portuguese-cased,0.5579000509837805,0.832,-0.06830926984548569
10,5,0.1,2,paraphrase-multilingual-mpnet-base-v2,0.44697830011391904,0.875,0.1459231972694397
10,5,0.1,2,neuralmind/bert-base-portuguese-cased,0.44542227930289474,0.875,0.11049740761518478
10,5,0.1,3,paraphrase-multilingual-mpnet-base-v2,0.4298951174608498,0.6833333333333333,0.0667317658662796
10,5,0.1,3,neuralmind/bert-base-portuguese-cased,0.4853855658898805,0.8166666666666667,-0.006637950427830219
10,5,0.1,4,paraphrase-multilingual-mpnet-base-v2,0.4589703806768986,0.675,0.0683901384472847
10,5,0.1,4,neuralmind/bert-base-portuguese-cased,0.4671715649309747,0.7625,-0.00836039800196886
10,5,0.1,5,paraphrase-multilingual-mpnet-base-v2,0.4714108062377404,0.66,0.07009872049093246
10,5,0.1,5,neuralmind/bert-base-portuguese-cased,0.4915692339487956,0.73,-0.031012091785669327
10,5,0.1,10,paraphrase-multilingual-mpnet-base-v2,0.512913948149528,0.69,0.05575237050652504
10,5,0.1,10,neuralmind/bert-base-portuguese-cased,0.5114389529255201,0.69,-0.04581098631024361
10,5,0.1,20,paraphrase-multilingual-mpnet-base-v2,0.5223539786528321,0.655,0.013858339749276638
10,5,0.1,20,neuralmind/bert-base-portuguese-cased,0.5307850974695655,0.7525,-0.04155079647898674
10,5,0.1,30,paraphrase-multilingual-mpnet-base-v2,0.4799752656791844,0.7083333333333334,0.01908506639301777
10,5,0.1,30,neuralmind/bert-base-portuguese-cased,0.5524888386864476,0.76,-0.05952506884932518
10,5,0.1,50,paraphrase-multilingual-mpnet-base-v2,0.0,0.784,0.006740102078765631
10,5,0.1,50,neuralmind/bert-base-portuguese-cased,0.5070426060653769,0.814,-0.061386674642562866
10,5,0.5,2,paraphrase-multilingual-mpnet-base-v2,0.4396397184189645,0.85,0.14749981462955475
10,5,0.5,2,neuralmind/bert-base-portuguese-cased,0.45381486451645914,0.875,0.1257311850786209
10,5,0.5,3,paraphrase-multilingual-mpnet-base-v2,0.44011747253283257,0.7,0.09693802893161774
10,5,0.5,3,neuralmind/bert-base-portuguese-cased,0.4718215403436823,0.7833333333333333,0.008099767379462719
