n_neighbors,n_components,min_dist,n_clusters,embedding_model,coherence,diversity,silhouette,mean_score
10,5,0.0,2,paraphrase-MiniLM-L6-v2,0.428547107726839,0.8,0.08704579621553421,0.4385309679807911
10,5,0.0,2,neuralmind/bert-base-portuguese-cased,0.4454222793028948,0.875,0.6617766618728638,0.6607329803919195
10,5,0.0,3,paraphrase-MiniLM-L6-v2,0.447102349628953,0.9,0.08577421307563782,0.47762552090153026
10,5,0.0,3,neuralmind/bert-base-portuguese-cased,0.42836068752676115,0.8166666666666667,0.47245240211486816,0.5724932521027654
10,5,0.0,4,paraphrase-MiniLM-L6-v2,0.42806737040559484,0.6875,0.26921093463897705,0.46159276834819063
10,5,0.0,4,neuralmind/bert-base-portuguese-cased,0.45203433600819315,0.75,0.43180981278419495,0.5446147162641294
10,5,0.0,5,paraphrase-MiniLM-L6-v2,0.5004300939270366,0.84,0.2503369450569153,0.5302556796613173
10,5,0.0,5,neuralmind/bert-base-portuguese-cased,0.4817771946800188,0.76,0.4126245379447937,0.5514672442082708
10,5,0.0,10,paraphrase-MiniLM-L6-v2,0.48485351939252935,0.705,0.25603941082954407,0.48196431007402446
10,5,0.0,10,neuralmind/bert-base-portuguese-cased,0.5345689997454871,0.745,0.35301387310028076,0.5441942909485893
10,5,0.0,20,paraphrase-MiniLM-L6-v2,0.5105641953799583,0.67,0.15857255458831787,0.4463789166560921
10,5,0.0,20,neuralmind/bert-base-portuguese-cased,0.5259092465009544,0.755,0.3448163568973541,0.5419085344661029
10,5,0.0,30,paraphrase-MiniLM-L6-v2,0.4969537948413859,0.7316666666666667,0.22070659697055817,0.4831090194928702
10,5,0.0,30,neuralmind/bert-base-portuguese-cased,0.5369336937689391,0.7733333333333333,0.3019072711467743,0.5373914327496823
10,5,0.0,50,paraphrase-MiniLM-L6-v2,0.4988221105698486,0.816,0.24775320291519165,0.5208584378283467
10,5,0.0,50,neuralmind/bert-base-portuguese-cased,0.0,0.833,0.2756262719631195,0.36954209065437316
10,5,0.1,2,paraphrase-MiniLM-L6-v2,0.3690992631307939,1.0,0.8107083439826965,0.7266025357044968
10,5,0.1,2,neuralmind/bert-base-portuguese-cased,0.4454222793028948,0.875,0.631648063659668,0.6506901143208542
10,5,0.1,3,paraphrase-MiniLM-L6-v2,0.43298053737761144,0.7333333333333333,0.29471468925476074,0.4870095199885685
10,5,0.1,3,neuralmind/bert-base-portuguese-cased,0.4311721031305502,0.8,0.44667133688926697,0.5592811466732724
10,5,0.1,4,paraphrase-MiniLM-L6-v2,0.44935435837194393,0.6375,0.27929699420928955,0.4553837841937445
10,5,0.1,4,neuralmind/bert-base-portuguese-cased,0.45009099575680844,0.7625,0.41435232758522034,0.5423144411140096
10,5,0.1,5,paraphrase-MiniLM-L6-v2,0.4643844171223782,0.69,0.28082355856895447,0.47840265856377756
