videoId,commentId,commentAuthor,authorChannelId,commentText,commentLikeCount,commentPublishedAt,commentUpdatedAt,commentReplyCount,language,textClean,evaluation
rrcwIePVs40,UgxpsB-tpqaZMkg84zR4AaABAg,@elianealvesribeirocaminski3102,UCxv6Us0VLrvoZMfCLrIbXyA,Penso que deveria ser proibido uso de celular pra menores de 18 anos assim como a carteira de motorista sonho para o dia que uma lei dessas seja implantada creio que a maioria dos problemas seriam resolvidos por que nossas crianças estão sendo submetidas a situações desesperadoras onde ninguém enxerga  e toma uma atitude,0.0,2025-08-23 02:55:53+00:00,2025-08-23T02:55:53Z,0.0,pt,Penso que deveria ser proibido uso de celular pra menores de 18 anos assim como a carteira de motorista sonho para o dia que uma lei dessas seja implantada creio que a maioria dos problemas seriam resolvidos por que nossas crianças estão sendo submetidas a situações desesperadoras onde ninguém enxerga e toma uma atitude,
pMUhZbOZCYs,UgwVp7GOBvBDFNvIhoJ4AaABAg,@jonasconceicao1390,UClj1XUZnHhmPGGfuuvDA0jw,Feucar defecou na lei,4.0,2025-08-28 01:40:10+00:00,2025-08-28T01:40:10Z,0.0,pt,Feucar defecou na lei,
mrLEcISVIhU,UgymVXOSdE5h3KfjMC54AaABAg,@afutaimeji,UCFq1k9WSIWs8_Dl_93D9DHg,a minha mãe? 😮,0.0,2025-08-08 00:53:31+00:00,2025-08-08T00:53:31Z,0.0,pt,a minha mãe? 😮,
qR9LDN3IDyg,UgxiLzjbhilQhR3VoO94AaABAg,@gevanildagomes208,UCLwLMBj0VcbHHo50h5Xswdg,Com essas propagandas usando crianças aumenta a pedofilia.,0.0,2025-08-12 08:51:58+00:00,2025-08-12T08:51:58Z,0.0,pt,Com essas propagandas usando crianças aumenta a pedofilia.,
1s72KZaN92M,UgxxlGDHigAkGekczLx4AaABAg,@PaulaÁvila-h3d,UCvIcBvzO7yjurWUVgXE6z_A,Nojo desse preto,0.0,2025-08-25 09:29:00+00:00,2025-08-25T09:29:00Z,0.0,pt,Nojo desse preto,
W6fF3ebBlmY,UgwlLuHSedRoa6DWgWp4AaABAg,@VergiliusTheRedGaze-d3o,UCKQfRIt_47NM7zU5manttKg,"Esse vídeo é baseado naquele entrevista la em que o espan- digo felca falou pra uma demen- digo psicóloga que ""jogos deveriam ser banidos ja que causam violência e sao do mal e yadadadadadada"" ou não?",0.0,2025-08-16 06:36:57+00:00,2025-08-16T06:36:57Z,0.0,pt,"Esse vídeo é baseado naquele entrevista la em que o espan- digo felca falou pra uma demen- digo psicóloga que ""jogos deveriam ser banidos ja que causam violência e sao do mal e yadadadadadada"" ou não?",
ZdQxZ1-BdC4,UgwaKCvoYlpYhEu5TP14AaABAg,@Maribeamakeup,UCvV9AgB_KoJNke0IhsCQYQw,Felca teve muita coragem em expor… arrasou.. espero que saiba lidar com tudo.. são pessoas como Felca que poderá fazer uma diferença nessa nova geração..abrir os olhos desse povo,2.0,2025-08-14 15:43:53+00:00,2025-08-14T15:43:53Z,0.0,pt,Felca teve muita coragem em expor… arrasou.. espero que saiba lidar com tudo.. são pessoas como Felca que poderá fazer uma diferença nessa nova geração..abrir os olhos desse povo,
nfxG74WUIIA,UgwZLhXr5P9ow0ZdxaF4AaABAg,@thaysgama1175,UCo7TWtgOze7UKO85L2NCnkw,"PT fervoroso pra calar o povo brasileiro na internet, somos ouvidos no estrangeiro, isso acaba com os planos malignos. 
Querem usar a pauta, que sempre ignoraram e militaram ao contrário, para punir s maioria que não cometeu crim3 algum.",0.0,2025-08-14 14:07:23+00:00,2025-08-14T14:07:23Z,0.0,pt,"PT fervoroso pra calar o povo brasileiro na internet, somos ouvidos no estrangeiro, isso acaba com os planos malignos. Querem usar a pauta, que sempre ignoraram e militaram ao contrário, para punir s maioria que não cometeu crim3 algum.",
rrcwIePVs40,UgyZaPF0edfxuTUqpk54AaABAg,@cadu3172,UCYnE06HJiuCOuUExplKTBYA,Felca= Felcatrua!!!,0.0,2025-08-20 01:56:58+00:00,2025-08-20T01:56:58Z,0.0,pt,Felca= Felcatrua!!!,
rKesx1EGlxQ,UgzgwKBkZx2YaBBowTx4AaABAg,@mattarazojnr9525,UCu77ivzbHnKqNzmZHl4X8AQ,"O trabalho do Nando é extremamente importante, ele abre os olhos até daqueles que não querem enxergar, eu mesmo votaria cegamente no kim se não tivesse o nando pra informar o que ele e sua trupe aprontam nos bastidores.",0.0,2025-08-15 03:19:28+00:00,2025-08-15T03:19:28Z,0.0,pt,"O trabalho do Nando é extremamente importante, ele abre os olhos até daqueles que não querem enxergar, eu mesmo votaria cegamente no kim se não tivesse o nando pra informar o que ele e sua trupe aprontam nos bastidores.",
